spot_id,energy_MeV,x_mm,y_mm,weight,source_x_mm,source_y_mm,source_z_mm,direction_x,direction_y,direction_z,energy_spread_percent,sigma_x_mm,sigma_y_mm,sigma_x_prime,sigma_y_prime,correlation_x,correlation_y
1,3000,0,0,1,-0.11664504381406215,0,0.0001,0,0,1,0,0,0,0,0,0,0
2,3000,0,0,1,-0.0925483975514459,0,0.0001,0,0,1,0,0,0,0,0,0,0
3,3000,0,0,1,0.22187621718468303,0,0.0001,0,0,1,0,0,0,0,0,0,0
4,3000,0,0,1,0.10985833141608509,0,0.0001,0,0,1,0,0,0,0,0,0,0
5,3000,0,0,1,0.04268420165623932,0,0.0001,0,0,1,0,0,0,0,0,0,0
6,3000,0,0,1,-0.12214874476529952,0,0.0001,0,0,1,0,0,0,0,0,0,0
7,3000,0,0,1,-0.06575567099419338,0,0.0001,0,0,1,0,0,0,0,0,0,0
8,3000,0,0,1,0.24117259029541627,0,0.0001,0,0,1,0,0,0,0,0,0,0
9,3000,0,0,1,-0.05534601063800837,0,0.0001,0,0,1,0,0,0,0,0,0,0
10,3000,0,0,1,0.15899863891231175,0,0.0001,0,0,1,0,0,0,0,0,0,0
11,3000,0,0,1,-0.16740772617269178,0,0.0001,0,0,1,0,0,0,0,0,0,0
12,3000,0,0,1,0.06192495653603658,0,0.0001,0,0,1,0,0,0,0,0,0,0
13,3000,0,0,1,0.0870834213962971,0,0.0001,0,0,1,0,0,0,0,0,0,0
14,3000,0,0,1,-0.1684478970879486,0,0.0001,0,0,1,0,0,0,0,0,0,0
15,3000,0,0,1,-0.21746856857933816,0,0.0001,0,0,1,0,0,0,0,0,0,0
16,3000,0,0,1,-0.16501489109730522,0,0.0001,0,0,1,0,0,0,0,0,0,0
17,3000,0,0,1,-0.05549218574740439,0,0.0001,0,0,1,0,0,0,0,0,0,0
18,3000,0,0,1,0.09578853298993723,0,0.0001,0,0,1,0,0,0,0,0,0,0
19,3000,0,0,1,-0.14446417120617966,0,0.0001,0,0,1,0,0,0,0,0,0,0
20,3000,0,0,1,-0.04295686285410638,0,0.0001,0,0,1,0,0,0,0,0,0,0
21,3000,0,0,1,0.07082843992088717,0,0.0001,0,0,1,0,0,0,0,0,0,0
22,3000,0,0,1,-0.1755823088732742,0,0.0001,0,0,1,0,0,0,0,0,0,0
23,3000,0,0,1,0.17741705826725684,0,0.0001,0,0,1,0,0,0,0,0,0,0
24,3000,0,0,1,0.20888362487990708,0,0.0001,0,0,1,0,0,0,0,0,0,0
25,3000,0,0,1,-0.1693867148518728,0,0.0001,0,0,1,0,0,0,0,0,0,0
26,3000,0,0,1,-0.12272050506518128,0,0.0001,0,0,1,0,0,0,0,0,0,0
27,3000,0,0,1,-0.11221096332793179,0,0.0001,0,0,1,0,0,0,0,0,0,0
28,3000,0,0,1,-0.08324055535062103,0,0.0001,0,0,1,0,0,0,0,0,0,0
29,3000,0,0,1,-0.17389760632178136,0,0.0001,0,0,1,0,0,0,0,0,0,0
30,3000,0,0,1,-0.06879628955322753,0,0.0001,0,0,1,0,0,0,0,0,0,0
31,3000,0,0,1,0.16289066717541234,0,0.0001,0,0,1,0,0,0,0,0,0,0
32,3000,0,0,1,0.1898066750504559,0,0.0001,0,0,1,0,0,0,0,0,0,0
33,3000,0,0,1,-0.02620830248555933,0,0.0001,0,0,1,0,0,0,0,0,0,0
34,3000,0,0,1,-0.11182215630505643,0,0.0001,0,0,1,0,0,0,0,0,0,0
35,3000,0,0,1,-0.23798036838556774,0,0.0001,0,0,1,0,0,0,0,0,0,0
36,3000,0,0,1,-0.15508244320375397,0,0.0001,0,0,1,0,0,0,0,0,0,0
37,3000,0,0,1,0.1690867695561778,0,0.0001,0,0,1,0,0,0,0,0,0,0
38,3000,0,0,1,-0.07398436588343604,0,0.0001,0,0,1,0,0,0,0,0,0,0
39,3000,0,0,1,0.21666185152959228,0,0.0001,0,0,1,0,0,0,0,0,0,0
40,3000,0,0,1,-0.03717227806091422,0,0.0001,0,0,1,0,0,0,0,0,0,0
41,3000,0,0,1,0.15184356864637305,0,0.0001,0,0,1,0,0,0,0,0,0,0
42,3000,0,0,1,-0.12295814163681751,0,0.0001,0,0,1,0,0,0,0,0,0,0
43,3000,0,0,1,-0.143861122178983,0,0.0001,0,0,1,0,0,0,0,0,0,0
44,3000,0,0,1,0.1507104253397425,0,0.0001,0,0,1,0,0,0,0,0,0,0
45,3000,0,0,1,-0.19914422055952052,0,0.0001,0,0,1,0,0,0,0,0,0,0
46,3000,0,0,1,0.12731532628525288,0,0.0001,0,0,1,0,0,0,0,0,0,0
47,3000,0,0,1,-0.19673742147352957,0,0.0001,0,0,1,0,0,0,0,0,0,0
48,3000,0,0,1,0.11747219526528802,0,0.0001,0,0,1,0,0,0,0,0,0,0
49,3000,0,0,1,0.129228516023155,0,0.0001,0,0,1,0,0,0,0,0,0,0
50,3000,0,0,1,0.12175399257328862,0,0.0001,0,0,1,0,0,0,0,0,0,0
51,3000,0,0,1,0.2157375729065581,0,0.0001,0,0,1,0,0,0,0,0,0,0
52,3000,0,0,1,-0.19880067911754212,0,0.0001,0,0,1,0,0,0,0,0,0,0
53,3000,0,0,1,-0.18459473339561855,0,0.0001,0,0,1,0,0,0,0,0,0,0
54,3000,0,0,1,-0.24979331505743607,0,0.0001,0,0,1,0,0,0,0,0,0,0
55,3000,0,0,1,-0.08859129230379714,0,0.0001,0,0,1,0,0,0,0,0,0,0
56,3000,0,0,1,0.14492054214576688,0,0.0001,0,0,1,0,0,0,0,0,0,0
57,3000,0,0,1,-0.012146670104462742,0,0.0001,0,0,1,0,0,0,0,0,0,0
58,3000,0,0,1,0.08481126694587365,0,0.0001,0,0,1,0,0,0,0,0,0,0
59,3000,0,0,1,-0.004908797041671464,0,0.0001,0,0,1,0,0,0,0,0,0,0
60,3000,0,0,1,-0.107094332574876,0,0.0001,0,0,1,0,0,0,0,0,0,0
61,3000,0,0,1,0.14393007636811828,0,0.0001,0,0,1,0,0,0,0,0,0,0
62,3000,0,0,1,0.2161189802984259,0,0.0001,0,0,1,0,0,0,0,0,0,0
63,3000,0,0,1,0.15263083772687758,0,0.0001,0,0,1,0,0,0,0,0,0,0
64,3000,0,0,1,-0.10108277365623386,0,0.0001,0,0,1,0,0,0,0,0,0,0
65,3000,0,0,1,-0.06832307533426829,0,0.0001,0,0,1,0,0,0,0,0,0,0
66,3000,0,0,1,-0.08009651586080802,0,0.0001,0,0,1,0,0,0,0,0,0,0
67,3000,0,0,1,-0.08044727589107697,0,0.0001,0,0,1,0,0,0,0,0,0,0
68,3000,0,0,1,0.07432767492767345,0,0.0001,0,0,1,0,0,0,0,0,0,0
69,3000,0,0,1,-0.1551546828657469,0,0.0001,0,0,1,0,0,0,0,0,0,0
70,3000,0,0,1,-0.21409024047842268,0,0.0001,0,0,1,0,0,0,0,0,0,0
71,3000,0,0,1,-0.06443309959790361,0,0.0001,0,0,1,0,0,0,0,0,0,0
72,3000,0,0,1,-0.08309270133738228,0,0.0001,0,0,1,0,0,0,0,0,0,0
73,3000,0,0,1,0.06690329740748313,0,0.0001,0,0,1,0,0,0,0,0,0,0
74,3000,0,0,1,-0.09909451209619596,0,0.0001,0,0,1,0,0,0,0,0,0,0
75,3000,0,0,1,-0.19408600952945104,0,0.0001,0,0,1,0,0,0,0,0,0,0
76,3000,0,0,1,0.20565571992400578,0,0.0001,0,0,1,0,0,0,0,0,0,0
77,3000,0,0,1,0.1152107752606043,0,0.0001,0,0,1,0,0,0,0,0,0,0
78,3000,0,0,1,0.045366854090604425,0,0.0001,0,0,1,0,0,0,0,0,0,0
79,3000,0,0,1,-0.15047819981929417,0,0.0001,0,0,1,0,0,0,0,0,0,0
80,3000,0,0,1,-0.1263489142226567,0,0.0001,0,0,1,0,0,0,0,0,0,0
81,3000,0,0,1,0.24273847881627653,0,0.0001,0,0,1,0,0,0,0,0,0,0
82,3000,0,0,1,-0.24185364059911152,0,0.0001,0,0,1,0,0,0,0,0,0,0
83,3000,0,0,1,-0.09247425025026784,0,0.0001,0,0,1,0,0,0,0,0,0,0
84,3000,0,0,1,0.213317270208691,0,0.0001,0,0,1,0,0,0,0,0,0,0
85,3000,0,0,1,-0.2284393307189771,0,0.0001,0,0,1,0,0,0,0,0,0,0
86,3000,0,0,1,0.026978219054632657,0,0.0001,0,0,1,0,0,0,0,0,0,0
87,3000,0,0,1,0.07078181459121768,0,0.0001,0,0,1,0,0,0,0,0,0,0
88,3000,0,0,1,0.22471952985016824,0,0.0001,0,0,1,0,0,0,0,0,0,0
89,3000,0,0,1,-0.009960080474317401,0,0.0001,0,0,1,0,0,0,0,0,0,0
90,3000,0,0,1,0.019403414392989926,0,0.0001,0,0,1,0,0,0,0,0,0,0
91,3000,0,0,1,0.12665517748085053,0,0.0001,0,0,1,0,0,0,0,0,0,0
92,3000,0,0,1,0.0828623882293662,0,0.0001,0,0,1,0,0,0,0,0,0,0
93,3000,0,0,1,-0.18866654880199307,0,0.0001,0,0,1,0,0,0,0,0,0,0
94,3000,0,0,1,-0.008457065429714028,0,0.0001,0,0,1,0,0,0,0,0,0,0
95,3000,0,0,1,0.11998503841962471,0,0.0001,0,0,1,0,0,0,0,0,0,0
96,3000,0,0,1,-0.008706850549884126,0,0.0001,0,0,1,0,0,0,0,0,0,0
97,3000,0,0,1,0.2332168931359242,0,0.0001,0,0,1,0,0,0,0,0,0,0
98,3000,0,0,1,0.08652592923043595,0,0.0001,0,0,1,0,0,0,0,0,0,0
99,3000,0,0,1,-0.007402873487783124,0,0.0001,0,0,1,0,0,0,0,0,0,0
100,3000,0,0,1,0.19968892622363765,0,0.0001,0,0,1,0,0,0,0,0,0,0
101,3000,0,0,1,0.09603802552598623,0,0.0001,0,0,1,0,0,0,0,0,0,0
102,3000,0,0,1,-0.05756243436668246,0,0.0001,0,0,1,0,0,0,0,0,0,0
103,3000,0,0,1,-0.04795287055928765,0,0.0001,0,0,1,0,0,0,0,0,0,0
104,3000,0,0,1,-0.15028566697319312,0,0.0001,0,0,1,0,0,0,0,0,0,0
105,3000,0,0,1,0.09335194529464502,0,0.0001,0,0,1,0,0,0,0,0,0,0
106,3000,0,0,1,0.09153185056114765,0,0.0001,0,0,1,0,0,0,0,0,0,0
107,3000,0,0,1,-0.21947118834751844,0,0.0001,0,0,1,0,0,0,0,0,0,0
108,3000,0,0,1,-0.1687954186176987,0,0.0001,0,0,1,0,0,0,0,0,0,0
109,3000,0,0,1,-0.21574955121826223,0,0.0001,0,0,1,0,0,0,0,0,0,0
110,3000,0,0,1,-0.15882695958246223,0,0.0001,0,0,1,0,0,0,0,0,0,0
111,3000,0,0,1,-0.19761467311255998,0,0.0001,0,0,1,0,0,0,0,0,0,0
112,3000,0,0,1,-0.192765365001627,0,0.0001,0,0,1,0,0,0,0,0,0,0
113,3000,0,0,1,0.13217551933955324,0,0.0001,0,0,1,0,0,0,0,0,0,0
114,3000,0,0,1,0.07060898651350661,0,0.0001,0,0,1,0,0,0,0,0,0,0
115,3000,0,0,1,-0.20854395833834866,0,0.0001,0,0,1,0,0,0,0,0,0,0
116,3000,0,0,1,0.14768171945961844,0,0.0001,0,0,1,0,0,0,0,0,0,0
117,3000,0,0,1,-0.14745337779469314,0,0.0001,0,0,1,0,0,0,0,0,0,0
118,3000,0,0,1,-0.01805502115896962,0,0.0001,0,0,1,0,0,0,0,0,0,0
119,3000,0,0,1,0.023471411342450954,0,0.0001,0,0,1,0,0,0,0,0,0,0
120,3000,0,0,1,0.23488495488682354,0,0.0001,0,0,1,0,0,0,0,0,0,0
121,3000,0,0,1,0.11008620936716457,0,0.0001,0,0,1,0,0,0,0,0,0,0
122,3000,0,0,1,0.013617663918258416,0,0.0001,0,0,1,0,0,0,0,0,0,0
123,3000,0,0,1,-0.19626605553545057,0,0.0001,0,0,1,0,0,0,0,0,0,0
124,3000,0,0,1,0.15739888491615184,0,0.0001,0,0,1,0,0,0,0,0,0,0
125,3000,0,0,1,-0.1772019848650711,0,0.0001,0,0,1,0,0,0,0,0,0,0
126,3000,0,0,1,-0.0965628790926939,0,0.0001,0,0,1,0,0,0,0,0,0,0
127,3000,0,0,1,-0.0759233328077733,0,0.0001,0,0,1,0,0,0,0,0,0,0
128,3000,0,0,1,-0.19761844142961937,0,0.0001,0,0,1,0,0,0,0,0,0,0
129,3000,0,0,1,-0.04092942983276848,0,0.0001,0,0,1,0,0,0,0,0,0,0
130,3000,0,0,1,-0.03997848480989985,0,0.0001,0,0,1,0,0,0,0,0,0,0
131,3000,0,0,1,-0.14574435147472037,0,0.0001,0,0,1,0,0,0,0,0,0,0
132,3000,0,0,1,-0.10843996579111498,0,0.0001,0,0,1,0,0,0,0,0,0,0
133,3000,0,0,1,0.20502199610656802,0,0.0001,0,0,1,0,0,0,0,0,0,0
134,3000,0,0,1,0.10922162128657925,0,0.0001,0,0,1,0,0,0,0,0,0,0
135,3000,0,0,1,0.12125351272262563,0,0.0001,0,0,1,0,0,0,0,0,0,0
136,3000,0,0,1,0.20396009882830884,0,0.0001,0,0,1,0,0,0,0,0,0,0
137,3000,0,0,1,0.06126083124566717,0,0.0001,0,0,1,0,0,0,0,0,0,0
138,3000,0,0,1,0.16554646291147523,0,0.0001,0,0,1,0,0,0,0,0,0,0
139,3000,0,0,1,-0.12352456480507312,0,0.0001,0,0,1,0,0,0,0,0,0,0
140,3000,0,0,1,-0.09575197206878694,0,0.0001,0,0,1,0,0,0,0,0,0,0
141,3000,0,0,1,0.058437224837044,0,0.0001,0,0,1,0,0,0,0,0,0,0
142,3000,0,0,1,0.14813594124278734,0,0.0001,0,0,1,0,0,0,0,0,0,0
143,3000,0,0,1,-0.20462979521715963,0,0.0001,0,0,1,0,0,0,0,0,0,0
144,3000,0,0,1,0.14600706717845952,0,0.0001,0,0,1,0,0,0,0,0,0,0
145,3000,0,0,1,-0.06194445194623882,0,0.0001,0,0,1,0,0,0,0,0,0,0
146,3000,0,0,1,-0.030003821406197062,0,0.0001,0,0,1,0,0,0,0,0,0,0
147,3000,0,0,1,0.22388805810435708,0,0.0001,0,0,1,0,0,0,0,0,0,0
148,3000,0,0,1,-0.15508043756654905,0,0.0001,0,0,1,0,0,0,0,0,0,0
149,3000,0,0,1,0.13971379527671024,0,0.0001,0,0,1,0,0,0,0,0,0,0
150,3000,0,0,1,0.17007229113756378,0,0.0001,0,0,1,0,0,0,0,0,0,0
151,3000,0,0,1,0.16408671274406972,0,0.0001,0,0,1,0,0,0,0,0,0,0
152,3000,0,0,1,0.18312758063359108,0,0.0001,0,0,1,0,0,0,0,0,0,0
153,3000,0,0,1,-0.08510064843684523,0,0.0001,0,0,1,0,0,0,0,0,0,0
154,3000,0,0,1,0.2376792289505441,0,0.0001,0,0,1,0,0,0,0,0,0,0
155,3000,0,0,1,-0.20377014526251397,0,0.0001,0,0,1,0,0,0,0,0,0,0
156,3000,0,0,1,-0.02459846114971781,0,0.0001,0,0,1,0,0,0,0,0,0,0
157,3000,0,0,1,-0.10784075794932368,0,0.0001,0,0,1,0,0,0,0,0,0,0
158,3000,0,0,1,0.06708025069150675,0,0.0001,0,0,1,0,0,0,0,0,0,0
159,3000,0,0,1,-0.00203714755883988,0,0.0001,0,0,1,0,0,0,0,0,0,0
160,3000,0,0,1,-0.18439986067263942,0,0.0001,0,0,1,0,0,0,0,0,0,0
161,3000,0,0,1,0.06191071855782754,0,0.0001,0,0,1,0,0,0,0,0,0,0
