energy_MeV_per_u,water_macroscopic_cross_section_per_mm
5.75,0.00621245
5.76,0.00621001
5.77,0.00620757
5.78,0.00620514
5.79,0.00620271
5.8,0.00620029
5.81,0.00619786
5.82,0.00619544
5.83,0.00619302
5.84,0.00619061
5.85,0.0061882
5.86,0.00618579
5.87,0.00618338
5.88,0.00618098
5.89,0.00617858
5.9,0.00617618
5.91,0.00617379
5.92,0.0061714
5.93,0.00616901
5.94,0.00616662
5.95,0.00616424
5.96,0.00616186
5.97,0.00615948
5.98,0.00615711
5.99,0.00615474
6,0.00615237
6.01,0.00615001
6.02,0.00614765
6.03,0.00614529
6.04,0.00614294
6.05,0.00614058
6.06,0.00613823
6.07,0.00613589
6.08,0.00613354
6.09,0.0061312
6.1,0.00612887
6.11,0.00612653
6.12,0.0061242
6.13,0.00612188
6.14,0.00611955
6.15,0.00611723
6.16,0.00611491
6.17,0.00611259
6.18,0.00611028
6.19,0.00610797
6.2,0.00610567
6.21,0.00610336
6.22,0.00610106
6.23,0.00609876
6.24,0.00609647
6.25,0.00609418
6.26,0.00609189
6.27,0.00608961
6.28,0.00608732
6.29,0.00608505
6.3,0.00608277
6.31,0.0060805
6.32,0.00607823
6.33,0.00607596
6.34,0.0060737
6.35,0.00607144
6.36,0.00606918
6.37,0.00606693
6.38,0.00606467
6.39,0.00606243
6.4,0.00606018
6.41,0.00605794
6.42,0.0060557
6.43,0.00605346
6.44,0.00605123
6.45,0.006049
6.46,0.00604678
6.47,0.00604455
6.48,0.00604233
6.49,0.00604011
6.5,0.0060379
6.51,0.00603569
6.52,0.00603348
6.53,0.00603128
6.54,0.00602907
6.55,0.00602687
6.56,0.00602468
6.57,0.00602249
6.58,0.0060203
6.59,0.00601811
6.6,0.00601592
6.61,0.00601374
6.62,0.00601157
6.63,0.00600939
6.64,0.00600722
6.65,0.00600505
6.66,0.00600289
6.67,0.00600072
6.68,0.00599857
6.69,0.00599641
6.7,0.00599426
6.71,0.00599211
6.72,0.00598996
6.73,0.00598781
6.74,0.00598567
6.75,0.00598354
6.76,0.0059814
6.77,0.00597927
6.78,0.00597714
6.79,0.00597501
6.8,0.00597289
6.81,0.00597077
6.82,0.00596865
6.83,0.00596654
6.84,0.00596443
6.85,0.00596232
6.86,0.00596022
6.87,0.00595812
6.88,0.00595602
6.89,0.00595392
6.9,0.00595183
6.91,0.00594974
6.92,0.00594765
6.93,0.00594557
6.94,0.00594349
6.95,0.00594141
6.96,0.00593933
6.97,0.00593726
6.98,0.00593519
6.99,0.00593313
7,0.00593106
7.01,0.005929
7.02,0.00592695
7.03,0.00592489
7.04,0.00592284
7.05,0.00592079
7.06,0.00591875
7.07,0.00591671
7.08,0.00591467
7.09,0.00591263
7.1,0.0059106
7.11,0.00590857
7.12,0.00590654
7.13,0.00590452
7.14,0.00590249
7.15,0.00590048
7.16,0.00589846
7.17,0.00589645
7.18,0.00589444
7.19,0.00589243
7.2,0.00589043
7.21,0.00588843
7.22,0.00588643
7.23,0.00588443
7.24,0.00588244
7.25,0.00588045
7.26,0.00587846
7.27,0.00587648
